No.,Source,Destination,Protocol,Length,Protocol_num,Packet_Count,Result
4228,2607:f8b0:4002:c1b::64,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,838,7,63,Normal
4229,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c1b::64,QUIC,98,7,6701,Normal
4230,2607:f8b0:4002:c1b::64,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,86,7,63,Normal
4231,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,1292,7,6701,Normal
4232,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,1292,7,6701,Normal
4233,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,1292,7,6701,Normal
4234,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,1292,7,6701,Normal
4235,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,1292,7,6701,Normal
4236,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,527,7,6701,Normal
4237,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,239,7,6701,Normal
4238,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,7,95,Normal
4239,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,7,95,Normal
4240,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,829,7,95,Normal
4241,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,QUIC,106,7,6701,Normal
4242,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,141,12,704,Normal
4243,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,97,12,6701,Normal
4244,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,74,9,6701,Normal
4245,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4246,fe80::3a94:edff:fed4:d02b,ff02::1,ICMPv6,174,3,239,Normal
4247,Netgear_d4:d0:2b,Apple_69:d6:81,ARP,60,1,58,Anomaly
4248,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,222,12,704,Anomaly
4249,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,97,12,6701,Normal
4250,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,74,9,6701,Normal
4251,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4252,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,74,9,6701,Normal
4253,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4254,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,74,9,6701,Normal
4255,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4256,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,1292,7,6701,Normal
4257,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,1292,7,6701,Normal
4258,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,1292,7,6701,Normal
4259,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,139,7,6701,Normal
4260,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,744,7,6701,Anomaly
4261,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,7,64,Normal
4262,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,7,64,Normal
4263,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,7,64,Normal
4264,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,7,64,Normal
4265,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,7,64,Normal
4266,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,344,7,64,Normal
4267,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1006,7,64,Normal
4268,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,87,7,64,Normal
4269,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,84,7,64,Normal
4270,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,590,7,64,Normal
4271,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,1292,7,6701,Normal
4272,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,140,7,6701,Normal
4273,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,93,7,6701,Normal
4274,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,97,7,6701,Normal
4275,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,2,6701,Anomaly
4276,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,2,6701,Anomaly
4277,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed::1,DNS,95,2,6701,Anomaly
4278,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TLSv1.2,283,10,6701,Normal
4279,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TLSv1.2,132,10,6701,Normal
4280,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TLSv1.2,283,10,6701,Normal
4281,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TLSv1.2,283,10,6701,Normal
4282,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,207,2,130,Normal
4283,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,148,2,130,Normal
4284,2001:558:feed::1,2601:c4:8300:f95c:b403:72e4:6cc6:a836,DNS,136,2,130,Normal
4285,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,183,7,64,Normal
4286,2607:f8b0:4002:c09::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,85,7,64,Normal
4287,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4288,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86,9,206,Normal
4289,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,132,10,206,Normal
4290,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,86,9,6701,Normal
4291,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c09::5e,QUIC,94,7,6701,Normal
4292,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,132,10,206,Normal
4293,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,260,10,206,Normal
4294,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,86,9,6701,Normal
4295,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TLSv1.2,128,10,6701,Normal
4296,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,131,10,206,Normal
4297,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,215,9,206,Normal
4298,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,102,9,206,Normal
4299,2001:558:feed:443::106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.2,206,10,206,Normal
4300,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:feed:443::106,TCP,86,9,6701,Normal
4301,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,1292,7,6701,Normal
4302,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,1292,7,6701,Normal
4303,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4023:3001::5e,QUIC,141,7,6701,Normal
4304,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,102,7,172,Normal
4305,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,7,172,Normal
4306,2607:f8b0:4023:3001::5e,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,7,172,Normal
