No.,Source,Destination,Protocol,Length,Protocol_num,Packet_Count,Result
52023,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52024,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52025,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52026,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52027,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52028,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52029,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52031,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52032,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52033,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,95,4,764,Normal
52034,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1285,4,764,Normal
52035,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52036,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52037,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52038,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52039,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52040,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52041,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0f::61,QUIC,96,4,3796,Normal
52042,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52043,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52044,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
52045,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0f::61,QUIC,95,4,3796,Normal
52046,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c0f::61,QUIC,95,4,3796,Normal
52047,2607:f8b0:4002:c0f::61,2601:c4:8300:f95c:b403:72e4:6cc6:a836,QUIC,1292,4,764,Normal
