No.,Time,Source,Destination,Protocol,Length,Info,Protocol_num,Packet_Count,Result
468,21.320248,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,1294,Application Data,8,808,Normal
469,21.320248,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=205488 Ack=1150 Win=32256 Len=1208 TSval=559045458 TSecr=412648549 [TCP PDU reassembled in 481]",6,808,Normal
470,21.320249,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=206696 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481],6,808,Normal
471,21.32025,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=207904 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481],6,808,Normal
472,21.320272,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=209112 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481],6,808,Normal
473,21.320273,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=210320 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481],6,808,Normal
474,21.320366,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=211528 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481],6,808,Normal
475,21.320481,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=212736 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481],6,808,Normal
476,21.320482,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=213944 Ack=1150 Win=32256 Len=1208 TSval=559045459 TSecr=412648549 [TCP PDU reassembled in 481]",6,808,Normal
477,21.320585,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=215152 Ack=1150 Win=32256 Len=1208 TSval=559045460 TSecr=412648551 [TCP PDU reassembled in 481],6,808,Normal
478,21.320685,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=216360 Ack=1150 Win=32256 Len=1208 TSval=559045460 TSecr=412648551 [TCP PDU reassembled in 481],6,808,Normal
479,21.320686,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=217568 Ack=1150 Win=32256 Len=1208 TSval=559045460 TSecr=412648551 [TCP PDU reassembled in 481],6,808,Normal
480,21.320917,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=218776 Ack=1150 Win=32256 Len=1208 TSval=559045460 TSecr=412648551 [TCP PDU reassembled in 481],6,808,Normal
481,21.320918,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TLSv1.3,1294,Application Data,8,808,Normal
482,21.320919,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=221192 Ack=1150 Win=32256 Len=1208 TSval=559045460 TSecr=412648551 [TCP PDU reassembled in 495]",6,808,Normal
483,21.321109,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=222400 Ack=1150 Win=32256 Len=1208 TSval=559045461 TSecr=412648551 [TCP PDU reassembled in 495],6,808,Normal
484,21.32111,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=223608 Ack=1150 Win=32256 Len=1208 TSval=559045461 TSecr=412648551 [TCP PDU reassembled in 495],6,808,Normal
485,21.321121,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=224816 Ack=1150 Win=32256 Len=1208 TSval=559045461 TSecr=412648551 [TCP PDU reassembled in 495],6,808,Normal
486,21.321121,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=226024 Ack=1150 Win=32256 Len=1208 TSval=559045461 TSecr=412648551 [TCP PDU reassembled in 495],6,808,Normal
487,21.32122,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=227232 Ack=1150 Win=32256 Len=1208 TSval=559045461 TSecr=412648551 [TCP PDU reassembled in 495],6,808,Normal
488,21.321331,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=228440 Ack=1150 Win=32256 Len=1208 TSval=559045461 TSecr=412648551 [TCP PDU reassembled in 495]",6,808,Normal
489,21.321332,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=229648 Ack=1150 Win=32256 Len=1208 TSval=559045465 TSecr=412648554 [TCP PDU reassembled in 495],6,808,Normal
490,21.321413,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,"443  >  49992 [PSH, ACK] Seq=230856 Ack=1150 Win=32256 Len=1208 TSval=559045465 TSecr=412648554 [TCP PDU reassembled in 495]",6,808,Normal
491,21.321629,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=232064 Ack=1150 Win=32256 Len=1208 TSval=559045465 TSecr=412648556 [TCP PDU reassembled in 495],6,808,Normal
492,21.321631,2620:149:a16:f000::140,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,1294,443  >  49992 [ACK] Seq=233272 Ack=1150 Win=32256 Len=1208 TSval=559045465 TSecr=412648556 [TCP PDU reassembled in 495],6,808,Normal
