No.,Source,Destination,Protocol,Length
86,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,86
87,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,703
88,2a06:98c1:3100::6812:202f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,89
89,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,95
90,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2a06:98c1:3100::6812:202f,UDP,105
91,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c06::5f,UDP,307
92,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c06::5f,UDP,307
93,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c06::5f,UDP,307
94,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,140
95,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,83
96,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,134
97,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,83
98,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c06::5f,UDP,97
99,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c06::5f,UDP,95
100,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c06::5f,UDP,97
101,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,367
102,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,87
103,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,89
104,2607:f8b0:4002:c06::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,87
105,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,92
106,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,95
107,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,157
108,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,99
109,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,88
110,2607:f8b0:4002:c10::5f,2601:c4:8300:f95c:b403:72e4:6cc6:a836,UDP,222
111,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2607:f8b0:4002:c10::5f,UDP,95
112,fe80::3a94:edff:fed4:d02b,ff02::1,ICMPv6,174
113,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,278
114,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,125
115,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,275
116,2601:c4:8300:f95c:b403:72e4:6cc6:a836,2001:558:fd01:6453::15,TLSv1.2,275
117,2001:558:fd01:6453::15,2601:c4:8300:f95c:b403:72e4:6cc6:a836,TCP,86
